,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
17,2021-05-01,0,1,OTOYOL,TUZLA-TOPKAPI,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,500T,
18,2021-05-01,0,1,OTOYOL,GULTEPE - SISLI,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,65G,
19,2021-05-01,0,1,OTOYOL,BAHCESEHIRI / ESENKENT - TAKSIM,Normal,7,7,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,76D,
20,2021-05-01,0,1,OTOYOL,S.GOKCEN HAVA ALANI-UYDUKENT-4.LEVENT METRO,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,E-3,
21,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
22,2021-05-01,0,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,1,1,PERSONEL,Tam Kontur,SARIYER,150,
23,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,BAYRAMPASA,34,EDIRNEKAPI 2
24,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,BESIKTAS,34,ZINCIRLIKUYU 2
25,2021-05-01,0,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,3,3,INDIRIMLI1,Indirimli Abonman,KADIKOY,34A,SOGUTLUCESME 1 19052021 LLEGAL KULLANIM
26,2021-05-01,0,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,2,2,TAM,Tam Kontur,KADIKOY,34A,SOGUTLUCESME 1 19052021 LLEGAL KULLANIM
27,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,UCRETSIZ,Ucretsiz,SISLI,34,ZINCIRLIKUYU 1
28,2021-05-01,0,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,7,7,TAM,Tam Kontur,BAKIRKOY,14,
29,2021-05-01,0,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,1,1,INDIRIMLI1,Indirimli Abonman,PENDIK,131,
